iter	Passed	Remaining
0	12	2440
1	21	2171
2	31	2058
3	39	1943
4	47	1865
5	55	1786
6	62	1720
7	69	1678
8	77	1634
9	83	1594
10	91	1573
11	99	1553
12	107	1541
13	114	1526
14	122	1510
15	129	1490
16	137	1477
17	144	1459
18	151	1446
19	159	1433
20	167	1424
21	175	1418
22	183	1414
23	191	1405
24	199	1398
25	207	1388
26	214	1377
27	223	1372
28	231	1366
29	239	1358
30	248	1352
31	257	1350
32	265	1344
33	273	1337
34	281	1328
35	290	1321
36	298	1316
37	307	1310
38	315	1303
39	323	1295
40	333	1294
41	342	1289
42	353	1289
43	361	1282
44	370	1275
45	379	1270
46	388	1263
47	396	1256
48	405	1249
49	415	1247
50	426	1245
51	436	1242
52	445	1236
53	454	1230
54	463	1222
55	472	1214
56	480	1206
57	490	1201
58	500	1195
59	508	1187
60	517	1179
61	525	1170
62	534	1161
63	542	1152
64	551	1145
65	561	1140
66	570	1132
67	580	1126
68	589	1118
69	597	1110
70	606	1102
71	615	1093
72	624	1085
73	632	1077
74	642	1071
75	652	1064
76	662	1057
77	670	1049
78	679	1040
79	688	1032
80	696	1023
81	705	1015
82	715	1008
83	724	1001
84	733	992
85	743	985
86	751	975
87	759	966
88	768	958
89	777	950
90	786	942
91	797	935
92	806	927
93	814	918
94	823	910
95	832	902
96	841	893
97	849	884
98	860	878
99	871	871
100	882	864
101	891	856
102	901	848
103	910	840
104	919	831
105	928	822
106	937	814
107	946	805
108	955	797
109	965	789
110	973	780
111	983	772
112	991	763
113	1000	754
114	1009	746
115	1018	737
116	1028	729
117	1037	721
118	1047	712
119	1055	703
120	1063	694
121	1072	685
122	1080	676
123	1088	667
124	1098	658
125	1107	650
126	1117	642
127	1126	633
128	1135	624
129	1143	615
130	1152	607
131	1160	598
132	1169	588
133	1178	580
134	1187	571
135	1196	563
136	1205	554
137	1215	545
138	1225	537
139	1237	530
140	1249	522
141	1261	515
142	1273	507
143	1285	499
144	1295	491
145	1306	483
146	1316	474
147	1326	466
148	1336	457
149	1347	449
150	1357	440
151	1365	431
152	1377	423
153	1387	414
154	1398	405
155	1408	397
156	1419	388
157	1428	379
158	1437	370
159	1446	361
160	1455	352
161	1463	343
162	1473	334
163	1483	325
164	1492	316
165	1501	307
166	1510	298
167	1519	289
168	1528	280
169	1537	271
170	1546	262
171	1556	253
172	1565	244
173	1574	235
174	1583	226
175	1592	217
176	1600	208
177	1609	198
178	1618	189
179	1628	180
180	1637	171
181	1643	162
182	1652	153
183	1661	144
184	1670	135
185	1679	126
186	1687	117
187	1695	108
188	1704	99
189	1713	90
190	1723	81
191	1732	72
192	1741	63
193	1750	54
194	1760	45
195	1769	36
196	1778	27
197	1789	18
198	1799	9
199	1809	0
